City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
156,Nishihara,JP,2022-10-02 06:42:45,26.1842,127.7558,87.85,62,40,14.97
157,Thunder Bay,CA,2022-10-02 06:42:38,48.4001,-89.3168,37.38,93,0,2.3
158,Batticaloa,LK,2022-10-02 06:42:46,7.7102,81.6924,93.67,45,100,18.37
159,Kosovska Mitrovica,XK,2022-10-02 06:42:46,42.8833,20.8667,63.18,73,0,5.41
160,Port Blair,IN,2022-10-02 06:38:34,11.6667,92.75,87.84,66,40,13.8
161,Oum Hadjer,TD,2022-10-02 06:42:46,13.2954,19.6966,86.18,45,52,9.24
162,Oktyabrskoye,RU,2022-10-02 06:42:47,43.0645,44.7417,64.54,68,100,2.24
163,Severo-Kurilsk,RU,2022-10-02 06:38:58,50.6789,156.125,45.68,67,13,25.59
164,Ponta Do Sol,PT,2022-10-02 06:42:48,32.6667,-17.1,70.43,74,16,4.74
165,Kahului,US,2022-10-02 06:42:49,20.8947,-156.47,80.62,76,40,6.91
166,Minnedosa,CA,2022-10-02 06:42:49,50.2453,-99.8436,46.96,89,100,5.1
167,Maltahohe,NA,2022-10-02 06:42:50,-24.8333,16.9833,80.4,7,1,3.8
168,Spring Hill,US,2022-10-02 06:40:13,28.4769,-82.5255,69.82,100,0,0.0
169,Anju,KP,2022-10-02 06:42:51,39.6178,125.6647,60.67,90,100,11.99
170,Lompoc,US,2022-10-02 06:42:51,34.6391,-120.4579,61.79,93,0,0.0
171,Beringovskiy,RU,2022-10-02 06:42:51,63.05,179.3167,39.76,94,100,15.66
172,Pisco,PE,2022-10-02 06:42:52,-13.7,-76.2167,59.05,88,14,12.66
173,Banda Aceh,ID,2022-10-02 06:42:52,5.5577,95.3222,84.97,68,100,10.94
174,Liberal,US,2022-10-02 06:42:53,37.0431,-100.921,61.84,51,0,8.05
175,Riyadh,SA,2022-10-02 06:41:07,24.6877,46.7219,87.94,12,0,3.47
